neigh_num,name,area_sqkm,lat,long,loc
6110,CPR Irvine,0.663610227113309,53.507527,-113.490549,"(53.507526687904274, -113.4905491361979)"
3030,Baturyn,1.406218311253614,53.630980,-113.504339,"(53.630979825087536, -113.50433944738286)"
4140,Elmwood,1.025925188734151,53.515738,-113.605993,"(53.515738255461834, -113.60599332906781)"
4210,High Park Industrial,0.388799173396505,53.561040,-113.584248,"(53.56103990686198, -113.5842482432311)"
2270,Evergreen,0.656219202462334,53.632277,-113.350484,"(53.63227726644656, -113.35048369016)"
3170,Dovercourt,1.00126508054605,53.575727,-113.559534,"(53.57572651756179, -113.55953411141944)"
4451,River Valley Oleskiw,2.473085949754612,53.488851,-113.601428,"(53.48885107431074, -113.60142818286619)"
6710,Strathearn,0.786297658935515,53.531292,-113.464047,"(53.53129197975665, -113.46404665860841)"
5320,Pleasantview,1.480391140083155,53.493176,-113.507131,"(53.49317552741458, -113.50713136285961)"
2390,Kernohan,0.891282194362287,53.589400,-113.380164,"(53.58939978180417, -113.38016431101529)"
6520,Mill Woods Town Centre,0.518415530578945,53.456458,-113.427480,"(53.45645846262913, -113.42748006003345)"
6662,Walker,2.634183306762331,53.417651,-113.430435,"(53.41765060534617, -113.43043517234943)"
4120,Donsdale,0.673213429671793,53.485630,-113.635460,"(53.485630174260024, -113.63546017643928)"
5050,Blackmud Creek Ravine,0.875492347904397,53.446870,-113.524166,"(53.446869928686134, -113.52416566742406)"
1240,Virginia Park,0.507584422951344,53.560888,-113.450297,"(53.56088810362063, -113.45029682956283)"
6560,Papaschase Industrial,1.238036775500735,53.484285,-113.478646,"(53.48428503434259, -113.47864585053787)"
4270,Lymburn,1.561583370822159,53.507532,-113.642300,"(53.507532410601314, -113.6423002159492)"
4090,Canora,0.881855890246951,53.546193,-113.584215,"(53.5461934423508, -113.58421460428093)"
4464,The Uplands,3.572675028439453,53.461707,-113.658220,"(53.461707245797, -113.65821967292243)"
2260,Evansdale,1.56806666340562,53.610841,-113.479569,"(53.6108411103013, -113.47956893111652)"
